L,H,E,nu,F,u_max,sigma_vm_max
5.673659290884934814e-01,1.152645590004557075e-01,2.089325789678171997e+11,3.391677266254913836e-01,3.868736087556271286e+03,7.730079124894101704e-06,1.266777056609743508e+06
1.836188736317787340e+00,1.840169959546795186e-01,1.426401704541028748e+11,2.815929051830792784e-01,3.974055944499446014e+03,9.378372337760948767e-05,1.346669090752033750e+06
1.492491894751641679e+00,1.060486593310565190e-01,8.322533352861213684e+10,3.246789611349025773e-01,1.681072321652891105e+03,1.740521065925822067e-04,1.398640119681979762e+06
1.905219725800668895e+00,8.614558625085272370e-02,8.718611053760804749e+10,3.331112672124906249e-01,1.189779424810223190e+03,3.908149994233726357e-04,1.716482869396079797e+06
7.689024622366086303e-01,1.399074187281265369e-01,1.924386857172450256e+11,2.696434665714573242e-01,1.896456528050426414e+03,5.974249612630884843e-06,5.066334148001684807e+05
1.666107257361766347e+00,1.957739639091451433e-01,1.401037660683279419e+11,2.643897502551250667e-01,5.627132946869069201e+02,8.655784500242302550e-06,1.541652918653542001e+05
8.444840449982828900e-01,6.977333266797816624e-02,1.648722143058000488e+11,2.621832504628531235e-01,2.778484692292848649e+03,9.915921159112930580e-05,2.850116859743616078e+06
1.541393653464329772e+00,1.371674913831353870e-01,9.796859123240806580e+10,3.304124526182262711e-01,3.719332083271107422e+03,1.730205432790581544e-04,2.017147531595672481e+06
1.608476005873312520e+00,6.965866273359699878e-02,8.732553251104824829e+10,3.427562551006507752e-01,2.289101872212232593e+03,8.324268159744189349e-04,4.301916702478416264e+06
9.514230376714096771e-01,1.232876068027300154e-01,1.628009897869015503e+11,3.455623257046969710e-01,1.789008020969247582e+03,1.677407907484499515e-05,8.119600243229968473e+05
1.887212643968040560e+00,5.372892370793844879e-02,1.477277259257554626e+11,3.133975111681084891e-01,9.765383168783898782e+02,5.649854333553150105e-04,2.690754932667871937e+06
7.105093955958690088e-01,1.128671478974455911e-01,2.052724677000454407e+11,3.096042553234372718e-01,4.698604497200950391e+03,1.998228107437294675e-05,1.831626854709194973e+06
1.706541373419456109e+00,1.201072402332937356e-01,1.798668828953062439e+11,2.517836783976987736e-01,9.911479854458073078e+02,5.088881457323161857e-05,6.640959638624633662e+05
1.744142922324104505e+00,1.695225632487742939e-01,1.025697038753007202e+11,3.030769590599053376e-01,3.227071193150049112e+03,1.139122834626561556e-04,1.252986391083507333e+06
1.801608430664016769e+00,1.404660736008088717e-01,1.277600196983152466e+11,2.874184043407182476e-01,2.416469388680794509e+03,1.290521041728970308e-04,1.325989535142767942e+06
1.477896538369961377e+00,1.801235947628487266e-01,1.335455634906819611e+11,2.747839562951358006e-01,1.564980633489115235e+03,2.258429157685212601e-05,4.566080621388997533e+05
1.619021420365169606e+00,1.724853145135865629e-01,8.473893117957749939e+10,2.566558856955178380e-01,3.174951486904033118e+03,1.074699728822940507e-04,1.064258386610794580e+06
7.192598662890474781e-01,1.736996285684512253e-01,1.134468543493704224e+11,2.643871932971142424e-01,4.644367126193526019e+03,1.101626548684717127e-05,7.876230311274420237e+05
7.482975841029172459e-01,9.270801235069034418e-02,9.150587532688821411e+10,2.615490063665354969e-01,5.951660735139801091e+02,1.205394701496468538e-05,3.285287079809915740e+05
5.830931137463901681e-01,7.619622064037791243e-02,7.747347056780455017e+10,3.091143816110971110e-01,3.563215370597778929e+03,7.072772594540048822e-05,2.423174970070079435e+06
1.090445685248042418e+00,9.769866454280742851e-02,1.406336731831122131e+11,3.375004942234608452e-01,4.330092320699926859e+03,1.368154678677150672e-04,3.329937519875027705e+06
5.652125930191879144e-01,7.722476143947862304e-02,1.031442819546154480e+11,2.749387575832211716e-01,3.070546932842477418e+03,4.123650639271653326e-05,1.898753302469589282e+06
1.124393638554788355e+00,5.738811798913909940e-02,1.223059793843400269e+11,3.023752948717637334e-01,9.575235630667218629e+02,1.669413170774171242e-04,1.799759249651461607e+06
1.750187830682839563e+00,5.779427996976563980e-02,1.994778616625286865e+11,2.599113141579875719e-01,4.296087282189887446e+03,1.341359199351228751e-03,9.597063951874479651e+06
1.853979715891425517e+00,1.969356020879889368e-01,1.822836232383031006e+11,3.279477540771328914e-01,3.391174741979964438e+03,5.121826239664912378e-05,1.098783281802715734e+06
1.668494531867193542e+00,7.018283126197207011e-02,1.450495250326692200e+11,3.014222870190414461e-01,4.359074648551509199e+03,1.047590466544204464e-03,7.540969891215248033e+06
1.194199048390273799e+00,1.077634244150530302e-01,1.595388579731954346e+11,2.766463317500845731e-01,1.128957849292805804e+03,3.220338619591491149e-05,7.082972096019500168e+05
1.216815911035618702e+00,1.125334052892327658e-01,1.025597916740423126e+11,2.867511810115128124e-01,2.148766024218113671e+03,8.837208290651577284e-05,1.280359224984934088e+06
9.912433466188181885e-01,1.069196119590393595e-01,1.660040683638323364e+11,2.796876474571285409e-01,4.769860670219031817e+03,7.845136763958317618e-05,2.610933342850555666e+06
1.874522029307266857e+00,1.221365642450118055e-01,1.159705687006564331e+11,3.035434789830003255e-01,4.318522199481310963e+03,4.132513707501019018e-04,3.208617753585846629e+06
1.478881010840153110e+00,1.706587741920616297e-01,1.445811186492036133e+11,3.132917629267620852e-01,1.796700263821077669e+03,2.727923529212290043e-05,6.099571124875554815e+05
1.602339743465436062e+00,8.036068896885775747e-02,1.672717380345897522e+11,3.360719068325893621e-01,1.094462767856947721e+03,1.432166816438553932e-04,1.594494026717373170e+06
1.421569610812879692e+00,6.426436223449019658e-02,1.716001879579997559e+11,2.584493218823520344e-01,4.711729202152817379e+03,8.122321325142557247e-04,8.061579667505636811e+06
7.061118950567032426e-01,1.938320368863620802e-01,1.821237846519135132e+11,3.093682004466353774e-01,4.021808470832961120e+03,3.997059174187563324e-06,5.825775675482755760e+05
1.692672258474628766e+00,1.919040594225995822e-01,1.054736695374862061e+11,3.090075895358309066e-01,9.277213890398054446e+02,2.038599834788772629e-05,2.823146481744307093e+05
1.424248550036181893e+00,7.569369561391832424e-02,1.490930856061418457e+11,3.072430514033849813e-01,2.596933188415523091e+03,3.332388885728685747e-04,3.631220799923474900e+06
1.283947663269684236e+00,1.645885085009882176e-01,1.818942603116893311e+11,2.992153215575428793e-01,3.198170486851755413e+03,2.879963007657189693e-05,1.008434325029071653e+06
1.896854353535152748e+00,6.796003827516843010e-02,8.639449922601547241e+10,2.587709011910768186e-01,3.460384782682375317e+03,2.073157499793336876e-03,6.336346959315516055e+06
1.127912451185569154e+00,1.661482124212765032e-01,1.639723978632029419e+11,2.833637758328237943e-01,4.542649463126910632e+03,3.068947720929581912e-05,1.237210865057281218e+06
1.643798220605978466e+00,9.058024113652636544e-02,1.209868824880875549e+11,2.814439980204263003e-01,1.209252418812498490e+03,1.761268387331217471e-04,1.325303042619363405e+06
7.216750588132874178e-01,1.904191195063616449e-01,1.313065652078254547e+11,2.883319822777409835e-01,3.783585689048200493e+03,5.927767742118495147e-06,5.595763930744478712e+05
